mean_brier_E,mean_brier_C,mean_brier_R,mean_ll_E,mean_ll_C,mean_ll_R,impr_R_vs_C_brier,impr_R_vs_C_ll,impr_R_vs_E_brier,impr_R_vs_E_ll,impr_C_vs_E_brier,impr_C_vs_E_ll,rep_mean_good,rep_mean_bad,rep_separation,seed,regime,stake_mean_good,stake_mean_bad
0.08904561938110506,0.08958721655495924,0.08946241076709145,0.32168063229077326,0.3234332296543997,0.32298786978731786,0.13931204994099314,0.13769762233698518,-0.4680650085688953,-0.40637743318129355,-0.6082243883735728,-0.5448252669567694,0.8516537040073733,0.7874995695573727,1.081465612084156,6,anti_correlated,0.809000440514259,1.0477498898714352
0.08507703204849235,0.08682905255956334,0.08670911805315275,0.3115764510511364,0.3167230167947493,0.31632796596527374,0.13812716236690817,0.12473069796868043,-1.9183626477827094,-1.524991666766725,-2.0593343101959394,-1.6517826447571364,0.8376427910167917,0.752551133534583,1.1130709312502793,7,anti_correlated,0.6236825382842999,1.094079365428925
0.08945362799286552,0.08886863773773289,0.08870371612554914,0.32267404439927055,0.3202807240278863,0.3197039400478935,0.18557909334726103,0.1800870101513242,0.8383247098442865,0.9204658394221253,0.6539592281034006,0.7417145608472882,0.8777286557023496,0.801745532003439,1.0947721199132103,8,anti_correlated,1.3365731742867468,0.9158567064283133
0.08959059897773303,0.08980072573212901,0.0896628950485415,0.3231403448564902,0.3231753101618338,0.3226593492561533,0.15348504420627224,0.1596535655592437,-0.08069604582779744,0.14885037043285024,-0.23454107550749423,-0.01082047039318647,0.8787352113622608,0.7905658990325064,1.1115268346859584,9,anti_correlated,1.2559392052542049,0.9360151986864491
0.08970024073188751,0.08989649906582103,0.08981155688288671,0.32312770046195527,0.32381215182070355,0.3234741667128848,0.09448886643753661,0.10437690677089942,-0.12409794008459969,-0.10722270187118706,-0.2187935420598672,-0.21182070053720764,0.6900747605912692,0.6404799089455605,1.0774338912946668,10,anti_correlated,1.0377193290600295,0.9905701677349926
0.08759874809023628,0.08704689089017818,0.08688755772895065,0.31785465096088694,0.3157266159042988,0.3151128421721239,0.1830429089403664,0.1944003771797812,0.8118727456618707,0.8625982915381205,0.6299829758863958,0.6694994237633518,0.917345379166434,0.8173854736756816,1.1222922460821882,11,anti_correlated,1.4354722811846548,0.8911319297038365
0.08787785501681566,0.08934700601757449,0.08926825212089395,0.3194007638653499,0.32399654372413134,0.3237053003619666,0.08814385639855173,0.08989088550670467,-1.5821928104779444,-1.3476913594456479,-1.6718102649156599,-1.4388756630271882,0.8179583452930579,0.7507883628088197,1.0894659344917714,12,anti_correlated,0.5773183605722314,1.1056704098569423
0.0878410022392116,0.08812754669286861,0.08796547965704232,0.3192314919011559,0.31972388895961495,0.3191395111387093,0.18390054178077203,0.182775776563715,-0.14170764751948647,0.028813185659977904,-0.3262080877409468,-0.15424451250928284,0.8892041487002663,0.8003578801232057,1.1110081761966082,13,anti_correlated,1.2170855261812705,0.9457286184546824
0.08649066048290559,0.08884559316015912,0.08878037978011294,0.31511230227968073,0.32176300548175707,0.3215339998486954,0.07340080439175571,0.07117214507577904,-2.647360170939962,-2.037907603910379,-2.7227595027083584,-2.1105818953946915,0.9211437352801155,0.8262822550302751,1.114805176647978,14,anti_correlated,0.3581597704176172,1.1604600573955959
0.0852922842432981,0.08596463720580859,0.0858235476003393,0.31185724604225995,0.3138056027002065,0.3133190992590417,0.16412516827297152,0.15503338276263293,-0.6228738762884646,-0.46875717506454073,-0.7882928314976154,-0.6247591430607797,0.9023138280731603,0.8121231743347505,1.111055387395255,15,anti_correlated,1.0442801696403508,0.9889299575899123
